Piece,To,Player
Pawn,d4,player1
Pawn,d5,player2
Knight,f3,player1
Bishop,f5,player2
Knight,c3,player1
Knight,f6,player2
Bishop,f4,player1
Knight,g4,player2
Pawn,e3,player1
Knight,c6,player2
Bishop,e2,player1
Queen,d7,player2
King,g8,player1
King,c8,player2
Knight,b5,player1
Knight,b4,player2
Rook,c1,player1
Knight,a2,player2
Rook,a1,player1
Knight,b4,player2
Knight,a7,player1
King,b8,player2
Knight,b5,player1
Bishop,c2,player2
Bishop,c7,player1
King,c8,player2
Queen,d2,player1
Queen,c6,player2
Knight,a7,player1
King,d7,player2
Knight,c6,player1
Pawn,c6,player2
Bishop,d8,player1
King,d8,player2
Queen,b4,player1
Pawn,e5,player2
Queen,b8,player1
King,e7,player2
Pawn,e5,player1
Bishop,e4,player2
Rook,a7,player1
King,e6,player2
Queen,e8,player1
King,f5,player2
Queen,f7,player1
Knight,f6,player2
Knight,h4,player1
King,g5,player2
Pawn,g3,player1
Knight,g4,player2
Queen,f4,player1
King,h5,player2
Queen,g4,player1
King,h6,player2
Queen,f4,player1
Pawn,g5,player2
Queen,f6,player1
Bishop,g6,player2
Knight,g6,player1
Bishop,g7,player2
Queen,g7,player1
